Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WI,2013,"8         ",Female,12.5,Right-Handed,150,22,150,1,Bus,30,.546,39,Cycling,599,401,11,102,310,695,21,"Right foot",72,68,"Index finger",March,Spring,No,No,Desserts,Juice,Art,8,7,6,"Yes - other",E-mail,15,30,6,3,4,2,3,8,4,6,10,2,1,5,Some,"Graduate degree",Pop,Invisibility,Healthy,Relative,"Wildlife, animals"
USA,NC,2017,"11        ",Male,18,Right-Handed,176,26,184,1,Car,15,.017,42,Baseball/Softball,200,300,1000,1000,400,1000,27,"Left foot",9,9.5,"Ring finger",August,Summer,Yes,No,Pizza/Pasta,Water,History,8,10,5,"Yes - broadband connection","Internet chat or instant messaging",20,20,4,1,4,2,8,1,6,3,9,1,0,1,"Very little","Graduate degree",Country,Fly,Rich,"Sports person",Health
USA,SC,2012,"11        ",Male,16,Ambidextrous,188,26,178,2,Bus,80,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2014,"12        ",Male,17,Right-Handed,183,,,2,Car,10,.291,48,Swimming,850,900,1000,1000,500,500,,"Right foot",,,"Ring finger",September,Summer,No,No,Seafood,Water,"Mathematics and statistics",7,10,3,"Yes - broadband connection","Text messaging",2,2,7,1,30,15,30,0,5,1,10,1,5,5,"A lot","Graduate degree",Reggae,Invisibility,Rich,"Business person","Wildlife, animals"
USA,DC,2010,"7         ",Male,13,Right-Handed,166,165,173,1,Walk,20,0.38,0.32,"Martial Arts",503,503,722,,337,337,23,"Same length",10,12,"Ring finger",November,Summer,Yes,No,Salads,"Sports drink","Physical education",8,10,4,"Yes - other","Text messaging",95,145,56,24,56,24,27,0,2,56,3,4,0,2,"Very little","Graduate degree",Other,Telepathy,Happy,Other,"Wildlife, animals"
USA,NJ,2011,"10        ",Male,14,Right-Handed,,,,1,Walk,5,.419,41,Other,850,980,100,,1000,1000,,"Right foot",,,"Ring finger",January,Winter,No,No,Meat,Water,English,8,8,4,"Yes - broadband connection","Cell phone",0,2,15,2.7,20,2,8,7,0,.1,1.5,.3,0,2,"Very little",Other,Pop,Telepathy,Happy,Teacher,"Wildlife, animals"
USA,IL,2018,"12        ",Male,17,Right-Handed,170.2,26,171,2,Car,10,0.323,45,Soccer,500,500,500,500,600,800,26,"Same length",8,8.5,"Ring finger",December,Summer,No,No,Pizza/Pasta,Water,History,7,8,3,"Yes - broadband connection","Cell phone",50,50,6,1,12,12,5,5,12,24,24,24,0,0,"A lot","Undergraduate degree","Rap/Hip hop","Freeze time",Happy,Other,Health
USA,MA,2017,"8         ",Female,13,Right-Handed,135,28,162,1,Bus,21,.555,43,Swimming,700,800,1000,1000,500,900,28,"Same length",70,80,"Ring finger",January,Fall,No,No,Seafood,Water,Music,7,10,2,"Yes - other","In person",30,40,15,6,4,3,2,0,4,7,3,8,1,4,Some,"High school",Pop,Fly,Happy,Actor,"Wildlife, animals"
USA,CA,2012,"12        ",Male,16,Right-Handed,172,16,16,3,Car,15,0448,39,Golf,767,777,777,777,1000,1000,23,"Right foot",15,17,"Index finger",August,Spring,Yes,Yes,Seafood,"Sports drink",Art,4,7,3,"Yes - broadband connection","Internet chat or instant messaging",765,765,6,1,40,0,8,0,11,3,37,0,0,0,"A lot","Graduate degree",Classical,Telepathy,Rich,"Doctor or nurse",Health
USA,NY,2014,"7         ",Male,12,Right-Handed,150,23,159,1,Walk,6,.81,79,Other,10,800,500,200,10,15,22,"Right foot",7,7.5,"Ring finger",September,Fall,Yes,No,Seafood,Water,Other,8,7,5,"Yes - broadband connection","In person",15,16,4,1,1,48,20,5,0,1,.5,2,18,1,Some,"High school",Country,"Super strength",Rich,Relative,Health
USA,IN,2018,"11        ",Male,17,Right-Handed,186,18,,1,Car,2,.718,36,Baseball/Softball,700,500,999,999,500,1000,18,"Same length",,,"Same length",September,Fall,No,No,Pizza/Pasta,Water,"Computers and technology",7,6,6,"Yes - broadband connection","Text messaging",100,100,3,4,10,20,30,10,2,10,10,1,8,5,"A lot","Graduate degree",Country,Invisibility,Healthy,"Religious figure",Religious
USA,GA,2018,"12        ",Male,18,Right-Handed,176,26,169,1,Car,7,.386,44,Athletics,654,701,500,500,866,866,26,"Same length",7.9,8,"Ring finger",December,Summer,Yes,No,Pizza/Pasta,Water,Art,5,10,4,"Yes - other","In person",0,3,5,0,1,8,2,28,0,0,12,2,0,6,"Very little","Graduate degree",Other,"Freeze time",Healthy,Other,Health
USA,PA,2016,"12        ",Male,18,Right-Handed,170.2,26.4,88.64,2,Bus,11,.255,23206,Tennis,900,500,600,700,800,1000,26.4,"Right foot",7.5,8.3,"Ring finger",March,Summer,No,No,Poultry,Water,Science,6.5,8.5,4,"Yes - broadband connection","Text messaging",100,200,8,.4,28,12,10,14,10,20,20,2,0,2,"A lot","Graduate degree",Techno/Electronic,Fly,Rich,Actor,Health
USA,CA,2017,"12        ",Female,17,Right-Handed,165.1,25,,1,Walk,10,1.212,53,Dancing,650,550,400,500,600,600,,"Same length",,,"Same length",May,Winter,No,No,Fruit,Juice,Music,6,12,3,"Yes - broadband connection","Text messaging",5,20,5,1,6,4,0,0,6,3,8,6,,,,,,,,,
USA,PA,2015,"12        ",Female,17,Right-Handed,173,24,175,2,Car,8,.403,32,Other,540,326,364,321,342,289,26.6,"Left foot",71,79,"Ring finger",January,Fall,Yes,No,"Rice/Noodle dishes",Tea,Science,7,9,6,"Yes - broadband connection","Text messaging",150,140,5,2,9,4,12,1,2,3,5,2,0,1,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Happy,Teacher,"International aid"
USA,FL,2016,"11        ",Female,17,Right-Handed,157,,158,2,Car,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2013,"8         ",Female,14,Right-Handed,165,23,165,1,Bus,8,.28,33,Baseball/Softball,1000,1000,1000,1000,1000,1000,23,"Same length",70.5,70.5,"Same length",January,Summer,No,No,"No favorite","Sports drink",Science,8,12,4,"Yes - broadband connection","Text messaging",2000,2000,24,1,4,10,10,0,3,60,2,2,0,2,"A lot","Graduate degree",Country,Fly,Rich,Relative,"Arts, culture, sports"
USA,CA,2018,"9         ",Male,14,Ambidextrous,165,26,64,2,Walk,30,.339,31,Other,1000,820,856,920,128,200,26,"Same length",70,60.5,"Index finger",September,Winter,No,No,"No favorite",Coffee,Music,4.5,8,7,"Yes - broadband connection","In person",0,2,20,0,20,7,15,0,15,15,20,0,10,35,Some,"Graduate degree",Other,Telepathy,Happy,Friend,Environment
USA,WI,2016,"7         ",Female,12,Right-Handed,159,23,156,2,Car,4,0.254,37,Gymnastics,642,572,668,636,807,1000,23,"Same length",85,70,"Ring finger",November,Summer,No,,Desserts,Water,Art,8,6,5,"Yes - broadband connection","Text messaging",,,,,,,,,,,,,,,,,,,,,
USA,WI,2015,"12        ",Female,17,Right-Handed,160,22,170,1,Car,7,.31,36,Soccer,444,535,824,652,701,797,22,"Same length",7,7,"Same length",June,Spring,No,No,Vegetables,Water,"Mathematics and statistics",6,10,3,"Yes - broadband connection","Text messaging",25,30,4,0,28,2,0,0,0,1,3,8,2,1,"A lot",Other,Other,Telepathy,Happy,"Religious figure","International aid"
USA,OH,2013,"9         ",Male,14,Right-Handed,63,22,,2,Car,5,2999,43,"Football (American)",,,,,,,63,"Same length",2,4,"Index finger",August,Summer,Yes,No,Other,Water,"Physical education",8,12,4,"Yes - broadband connection",Other,3,0,1,2,3,4,5,6,7,8,9,10,11,12,Some,"Graduate degree",Other,"Super strength",Rich,Other,Health
USA,NH,2019,"9         ",Female,14,Right-Handed,175,25,175,1,Bus,7,.35,43,Tennis,900,900,900,9993,1000,1000,35,"Same length",8.5,8,"Index finger",June,Fall,Yes,No,Pizza/Pasta,Coffee,Music,6,6-10,4,"Yes - other",Other,40,36,15,15,10,1,1,10,20,1.5,7,5,0,0,"A lot","Some college",Other,Invisibility,Famous,"Musician or singer","Arts, culture, sports"
USA,IA,2014,"10        ",Female,16,Right-Handed,162,23,172,1,Car,10,.44,28,Other,500,1000,800,800,1000,1000,32,"Same length",70,80,"Ring finger",March,Spring,No,No,Meat,"Soft drink (caffeinated)","Computers and technology",6,3,4,"Yes - broadband connection","Text messaging",60,60,5,10,2,4,2,2,4,24,2,6,6,1,"Very little","Graduate degree",Other,Telepathy,Happy,"Musician or singer","Wildlife, animals"
USA,MI,2018,"11        ",Female,16,Right-Handed,161,23,161,1,Car,10,0.334,55,Dancing,1000,503,433,241,0,1000,22,"Right foot",75,80,"Ring finger",May,Spring,No,No,Salads,"Energy drink",Art,7,3,3,"Yes - broadband connection","Text messaging",50,50,10,2,0,5,12,0,168,12,168,12,1,3,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Rich,Relative,"Wildlife, animals"
USA,NY,2016,"12        ",Male,20,Right-Handed,5.10,10.5,,1,Car,20,0.347,45,Other,7000,7000,6500,7500,8500,9500,10.5,"Same length",3.8,3.8,"Same length",December,Summer,No,No,"No favorite",Water,"Social studies",7,10,4,"Yes - broadband connection","Text messaging",30,32,4,1,3,4,2,1,4,3,6,2,39,7,Some,"Undergraduate degree",Other,"Super strength",Happy,"Sports person","Education/Youth development"
USA,NY,2019,"8         ",Male,13,Right-Handed,166,28,160,2,Bus,10min,0.337,43,Running/Jogging,610,0,251,59,1000,1000,27,"Right foot",74,78,"Ring finger",March,Spring,No,No,Breads/Sandwiches,Water,"Computers and technology",5,12,7,"Yes - broadband connection","Text messaging",124,147,3,12,56,3,0,21,18,12,78,2,0,0,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,"Wildlife, animals"
USA,PA,2018,"12        ",Male,17,Right-Handed,175,25,168,1,Car,5,.4,39,Other,401,401,412,412,578,695,25,"Same length",80,80,"Same length",February,Fall,Yes,No,Desserts,"Soft drink (caffeinated)",History,7,10,4,"Yes - broadband connection","Text messaging",10,10,10,0,1,5,10,7,7,10,20,7,15,5,Some,"Graduate degree","Rock and roll","Super strength",Rich,Actor,Health
